id,value,name,loc_type,parent,latitude,longitude
24124,20135855639,MURADPUR,5,20135855,,
24125,20758394652,MURADPUR,5,20758394,,
24126,20750787655,MURADPUR,5,20750787,,
24127,20758780607,MURADPUR,5,20758780,,
24128,20158657772,MURADPUR,5,20158657,,
24129,20158657999,MURADPUR,5,20158657,,
24130,20139593592,MURAGAON,5,20139593,,
24131,20751017600,MURAIM,5,20751017,,
24132,20190982637,MURAKOTA,5,20190982,,
24133,20134517685,MURARIR TEK,5,20134517,,
24134,20192731647,MURARPAR,5,20192731,,
24135,20198769678,MURASHWAR,5,20198769,,
24136,20198751680,MURGAON,5,20198751,,
24137,20190950641,MURIARA,5,20190950,,
24138,20139515598,MUSAD PARA,5,20139515,,
24139,20758775619,MUSAPUR,5,20758775,,
24140,20752159999,MUSAPUR,5,20752159,,
24141,20157875657,MUSAPUR,5,20157875,,
24142,20198190565,MUSTAFAPUR,5,20198190,,
24143,20196768626,MUSTAFAPUR,5,20196768,,
24144,20156170715,MUZAFARABAD,5,20156170,,
24145,20153765741,MUZAFARPUR,5,20153765,,
24146,20139585630,NABABPUR,5,20139585,,
24147,20193199682,NABAGRAM,5,20193199,,
24148,20758335558,NABAGRAM,5,20758335,,
24149,20137915694,NABAIRKANDI,5,20137915,,
24150,20137699698,NABAKALAS,5,20137699,,
24151,20468057663,NABHANGA,5,20468057,,
24152,20842538995,NABHANGA,5,20842538,,
24153,20198181617,NABIABAD,5,20198181,,
24154,20191875597,NABIABAD,5,20191875,,
24155,20194023691,NABIABAD,5,20194023,,
24156,20128599705,NABINAGAR,5,20128599,,
24157,20128560711,NABIPUR,5,20128560,,
24158,20137911703,NABIPUR,5,20137911,,
24159,20190963646,NABIPUR,5,20190963,,
24160,20758085683,NABIPUR,5,20758085,,
24161,20120430778,NABIPUR (DOMRAKANDI),5,20120430,,
24162,20190912650,NACHARPAR,5,20190912,,
24163,20158619806,NADALIA,5,20158619,,
24164,20157456596,NADIMPUR,5,20157456,,
24165,20309419756,NADONA,5,20309419,,
24166,20191588616,NAGAISH,5,20191588,,
24167,20194065698,NAGAR,5,20194065,,
